Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.135-192.168.8.1-2347-53-6,192.168.8.135,2347,192.168.8.1,53,6,17/05/2023 08:34:26 AM,77351,4,5,33.0,112.0,31.0,0.0,8.25,15.195942440884233,112.0,0.0,22.4,50.08792269599529,1874.5717573140619,116.35272976432108,9668.875,19442.89443059561,54675.0,0.0,75061.0,25020.333333333332,43204.00125374192,74908.0,41.0,77110.0,19277.5,25272.63656605697,54675.0,0.0,0,0,0,0,80,124,51.712324339698256,64.64040542462283,0.0,112.0,14.5,35.600405740509316,1267.388888888889,0,1,0,0,0,0,0,0,1.0,16.11111111111111,8.25,22.4,0,0,0,0,0,0,4,33,5,112,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2346-53-6,192.168.8.135,2346,192.168.8.1,53,6,17/05/2023 08:34:26 AM,88617,4,5,33.0,65.0,31.0,0.0,8.25,15.195942440884233,65.0,0.0,13.0,29.068883707497267,1105.8826184592122,101.56064863400927,11077.125,23129.380792387972,65545.0,0.0,86469.0,28823.0,49818.98223569004,86349.0,38.0,88449.0,22112.25,30429.871950382352,65545.0,0.0,0,0,0,0,80,124,45.13806605955968,56.4225825744496,0.0,65.0,9.8,21.67845832976957,469.9555555555556,0,1,0,0,0,0,0,0,1.0,10.88888888888889,8.25,13.0,0,0,0,0,0,0,4,33,5,65,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2345-53-6,192.168.8.135,2345,192.168.8.1,53,6,17/05/2023 08:34:26 AM,89754,4,5,33.0,89.0,31.0,0.0,8.25,15.195942440884233,89.0,0.0,17.8,39.802009999496256,1359.2708960046348,100.2740824921452,11219.25,23196.358542729446,65849.0,0.0,87204.0,29068.0,50206.095337120176,87041.0,60.0,89325.0,22331.25,30490.038453840403,65849.0,0.0,0,0,0,0,80,124,44.566258885397865,55.70782360674733,0.0,89.0,12.200000000000001,28.669767274178483,821.9555555555555,0,1,0,0,0,0,0,0,1.0,13.555555555555555,8.25,17.8,0,0,0,0,0,0,4,33,5,89,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2562-53-6,192.168.8.135,2562,192.168.8.1,53,6,17/05/2023 08:27:52 PM,64143,4,5,55.0,258.0,53.0,0.0,13.75,26.183646295604692,258.0,0.0,51.6,115.38110763898915,4879.721871443493,140.31149151115474,8017.875,15126.201991789894,42205.0,0.0,61049.0,20349.666666666668,35121.98037316993,60905.0,25.0,63482.0,15870.5,19304.69995450158,42205.0,0.0,0,0,0,0,80,124,62.36066289384656,77.95082861730819,0.0,258.0,31.3,81.3634507079875,6620.011111111111,0,1,0,0,0,0,0,0,1.0,34.77777777777778,13.75,51.6,0,0,0,0,0,0,4,55,5,258,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2560-53-6,192.168.8.135,2560,192.168.8.1,53,6,17/05/2023 08:27:52 PM,80312,4,5,55.0,176.0,53.0,0.0,13.75,26.183646295604692,176.0,0.0,35.2,78.7095928079926,2876.2824982567986,112.06295447753762,10039.0,20427.787888070503,58366.0,0.0,76579.0,25526.333333333332,44145.35765324972,76501.0,28.0,79702.0,19925.5,26739.64834597992,58366.0,0.0,0,0,0,0,80,124,49.80575754557227,62.25719693196534,0.0,176.0,23.1,56.22662477272963,3161.4333333333334,0,1,0,0,0,0,0,0,1.0,25.666666666666668,13.75,35.2,0,0,0,0,0,0,4,55,5,176,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2563-53-6,192.168.8.135,2563,192.168.8.1,53,6,17/05/2023 08:27:52 PM,80875,4,5,51.0,235.0,49.0,0.0,12.75,24.185050478894325,235.0,0.0,47.0,105.09519494249011,3536.3214837712517,111.28284389489953,10109.375,20827.10123124264,59476.0,0.0,77336.0,25778.666666666668,44565.96506677863,77239.0,20.0,80574.0,20143.5,27320.427137949362,59476.0,0.0,0,0,0,0,80,124,49.459041731066456,61.82380216383307,0.0,235.0,28.6,74.12481965501763,5494.488888888889,0,1,0,0,0,0,0,0,1.0,31.77777777777778,12.75,47.0,0,0,0,0,0,0,4,51,5,235,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2561-53-6,192.168.8.135,2561,192.168.8.1,53,6,17/05/2023 08:27:52 PM,81766,4,5,55.0,164.0,53.0,0.0,13.75,26.183646295604692,164.0,0.0,32.8,73.3430296619931,2678.3748746422716,110.0702003277646,10220.75,21025.046273093296,59983.0,0.0,78554.0,26184.666666666668,45215.51156774999,78395.0,22.0,81319.0,20329.75,27624.63637618904,59983.0,0.0,0,0,0,0,80,124,48.92008903456204,61.15011129320255,0.0,164.0,21.9,52.612736100681936,2768.1000000000004,0,1,0,0,0,0,0,0,1.0,24.333333333333332,13.75,32.8,0,0,0,0,0,0,4,55,5,164,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2565-53-6,192.168.8.135,2565,192.168.8.1,53,6,17/05/2023 08:27:52 PM,97625,4,5,51.0,235.0,49.0,0.0,12.75,24.185050478894325,235.0,0.0,47.0,105.09519494249011,2929.5774647887324,92.18950064020487,12203.125000000002,25774.55541773986,74710.0,0.0,82581.0,27527.0,47563.85063259702,82449.0,48.0,95691.0,23922.75,34407.92851824513,74710.0,0.0,0,0,0,0,80,124,40.973111395646605,51.21638924455826,0.0,235.0,28.6,74.12481965501763,5494.488888888889,0,1,0,0,0,0,0,0,1.0,31.77777777777778,12.75,47.0,0,0,0,0,0,0,4,51,5,235,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2564-53-6,192.168.8.135,2564,192.168.8.1,53,6,17/05/2023 08:27:52 PM,99171,4,5,51.0,175.0,49.0,0.0,12.75,24.185050478894325,175.0,0.0,35.0,78.26237921249263,2278.8920148027146,90.75233687267448,12396.375,25851.078125831755,74710.0,0.0,95688.0,31896.0,55125.13463929136,95549.0,23.0,95734.0,23933.5,34711.67978745291,74710.0,0.0,0,0,0,0,80,124,40.33437194341088,50.4179649292636,0.0,175.0,22.6,55.69999002593168,3102.4888888888886,0,1,0,0,0,0,0,0,1.0,25.11111111111111,12.75,35.0,0,0,0,0,0,0,4,51,5,175,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-192.168.8.1-2571-53-6,192.168.8.135,2571,192.168.8.1,53,6,17/05/2023 08:27:53 PM,49881,4,5,34.0,50.0,32.0,0.0,8.5,15.695009822658072,50.0,0.0,10.0,22.360679774997898,1684.007938894569,180.4294220244181,6235.125,10549.840424487134,23548.0,0.0,47071.0,15690.333333333334,27023.245000061215,46894.0,24.0,49517.0,12379.25,12786.819291103373,23548.0,0.0,0,0,0,0,80,124,80.19085423307472,100.2385677913434,0.0,50.0,8.399999999999999,17.708754896942924,313.6,0,1,0,0,0,0,0,0,1.0,9.333333333333334,8.5,10.0,0,0,0,0,0,0,4,34,5,50,-1,1825,2,0,0,0,0,0,0,0,0,0,No Label
